date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:00:20	65250/65250	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Oct%202025%2011:00:19%20GMT	https://namor-ia.com/generate-ai/	C:/Meus%20Sites/IA-3/namor-ia.com/generate-ai/index.html	(from )
08:00:20	109/109	---M-Z	200	added ('OK')	text/plain	date:Mon,%2006%20Oct%202025%2011:00:19%20GMT	https://namor-ia.com/robots.txt		(from )
08:00:20	5456/5456	---M-Z	200	added ('OK')	text/css	etag:%221550-686c22f9-d1723d7fb16b8b75;gz%22	https://namor-ia.com/wp-content/themes/hello-elementor/assets/css/reset.css?ver=3.4.4	C:/Meus%20Sites/IA-3/namor-ia.com/wp-content/themes/hello-elementor/assets/css/resetedb1.css	(from https://namor-ia.com/generate-ai/)
08:00:20	5097/5097	---M-Z	200	added ('OK')	text/css	etag:%2213e9-686c22f9-9196709c0573f09c;gz%22	https://namor-ia.com/wp-content/themes/hello-elementor/assets/css/theme.css?ver=3.4.4	C:/Meus%20Sites/IA-3/namor-ia.com/wp-content/themes/hello-elementor/assets/css/themeedb1.css	(from https://namor-ia.com/generate-ai/)
08:00:20	7182/7182	---M-Z	200	added ('OK')	text/css	etag:%221c0e-686c22f9-baff46dee8c3a3a8;gz%22	https://namor-ia.com/wp-content/themes/hello-elementor/assets/css/header-footer.css?ver=3.4.4	C:/Meus%20Sites/IA-3/namor-ia.com/wp-content/themes/hello-elementor/assets/css/header-footeredb1.css	(from https://namor-ia.com/generate-ai/)
08:00:21	53422/53422	---M-Z	200	added ('OK')	text/css	etag:%22d0ae-6888646b-e4736cb716af296e;gz%22	https://namor-ia.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.30.3	C:/Meus%20Sites/IA-3/namor-ia.com/wp-content/plugins/elementor/assets/css/frontend.min55cb.css	(from https://namor-ia.com/generate-ai/)
08:00:21	1429/1429	---M-Z	200	added ('OK')	text/css	etag:%22595-6888646e-4ffc2b71f7f7278e;gz%22	https://namor-ia.com/wp-content/uploads/elementor/css/post-7.css?ver=1753769070	C:/Meus%20Sites/IA-3/namor-ia.com/wp-content/uploads/elementor/css/post-768fe.css	(from https://namor-ia.com/generate-ai/)
08:00:21	21218/21218	---M-Z	200	added ('OK')	text/css	etag:%2252e2-6888646b-e4aaf27458d7726e;gz%22	https://namor-ia.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.43.0	C:/Meus%20Sites/IA-3/namor-ia.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min2778.css	(from https://namor-ia.com/generate-ai/)
08:00:21	494736/494736	---M-Z	200	added ('OK')	text/css	etag:%2278c90-686c232d-342c72fce7902e9b;gz%22	https://namor-ia.com/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.8.2	C:/Meus%20Sites/IA-3/namor-ia.com/wp-content/plugins/elementor-pro/assets/css/frontend.min3fd0.css	(from https://namor-ia.com/generate-ai/)
08:00:22	779/779	---M-Z	200	added ('OK')	text/css	etag:%2230b-68b1c06b-b4338107de0b8cbc;gz%22	https://namor-ia.com/wp-content/uploads/elementor/css/post-151.css?ver=1756479595	C:/Meus%20Sites/IA-3/namor-ia.com/wp-content/uploads/elementor/css/post-151b16c.css	(from https://namor-ia.com/generate-ai/)
